Model : SVM, and Preprocessing : Sans chiffres + (1,3)gram

#A noter que les exemples de test sont ordonnés mais pas les exemples d'apprentissages choisis au hasard
#L'ordre observé ici n'a donc pas influencé l'apprentissage

Estimate    True Value    Text sample
0    0    plot : two teen couples go to a church party , drink and then drive . 
0    0    and now the high-flying hong kong style of filmmaking has made its way down to the classics , and it isn't pretty . 
0    0    she was the femme in " la femme nikita . " 
0    0    the law of crowd pleasing romantic movies states that the two leads must end up together by film's end . 
0    0     " spawn " features good guys , bad guys , lots of fighting , bloody violence , a leather-clad machine gun chick , gooey , self-healing bullet holes , scatological humor and a man-eating monster . 
0    0     " in dreams " might keep you awake at night , but not because of its creepy imagery , bizarre visual style or story about a clairvoyant madman who lures young girls to their untimely deaths . 
0    0    play it to the bone , the newest addition to ron shelton's sports - themed repertoire fails in numerous ways . 
0    0    some movies i should just skip . 
0    0    sean connery stars as a harvard law professor who heads back into the courtroom , by way of the everglades , to defend a young , educated black man ( blair underwood ) . 
0    0    among multitude of erotic thrillers , that had been released in the early 1990s , woman of desire is interesting only because it was directed by robert ginty , star of the b-grade action films of the previous decade . 
0    0    a pseudo-intellectual film about the pseudo-intellectual world of art magazines , high art is as wasted as its drug-addled protagonists . 
0    0    one of the responses those that enjoy " detroit rock city " ( probably kiss fans , mostly ) might have upon first glance at the rating i've given the film might be something like : " oh , that casey's gone and become a jaded critic on us . 
0    0    has it really been two decades since walter matthau coached the bad news bears ? 
0    0    supposedly based on a true story in which the british drive to build a rail bridge deep in africa grinds to a halt after a pair of lions start killing off the workers in 1898 . 
0    0    louie is a trumpeter swan with no voice . 
0    0    would you believe -- in real life , i mean -- that if you were julia roberts , that you'd be the ugly underdog to your sister , the creepy catherine zeta-jones ? 
0    0    movie reviewers have an obligation to see the good , the bad , and the despicable . 
0    0    susan granger's review of " the watcher " ( universal ) 
0    0    edward burns tackles his third picture with no looking back , and like his previous two , it is a working-class relationship picture . 
0    0    it's now the anniversary of the slayings of julie james' ( jennifer love hewitt ) best friends . 
1    0    a documentary from the twin hughes brothers , allen and albert ( dead presidents , menace ii society ) , about street pimps , all of whom are african-american . 
1    0     " love to kill " starts off aimlessly and gets progressively less coherent as time passes . 
0    0    based on the 1960s tv series that i had never seen or heard of before this movie ( be happy , i won't bore you with any lame and unnecessary comparisons ) , this film allows will smith to take a third stab at the independence day weekend box-office , after scoring huge successes with men in black ( 7/10 ) , directed by the same man who controlled this one , and independence day ( 6/10 ) . 
0    0     * * * the following review contains spoilers * * * 
0    0    the happy bastard's quick movie review 
0    0    forget get carter . 
0    0     " something is fishy in the state of universal . " 
0    0    i never understood what the clich ? " hell on earth " truly meant until very recently . 
0    0     " showgirls " is the first big-budget , big-studio film to receive an nc-17 rating . 
0    0    seen may 2 , 1998 at 3 : 40 p . m . at the crossgates cinema 18 , theater #13 , with chris wessell and sean o'shea for $5 . 
0    0    jean-claude van damme movies tend to be , if nothing else , a lot of mindless fun . 
0    0     " desperate measures " is a generic title for a film that's beyond generic . 
0    0    ever watch a very young child try and tell a joke that is beyond his , or her , sophistication ? 
0    0    it's always a bad sign when the core audience of a film -- children -- are either walking out early or are half-asleep when the credits roll at the end of a film . 
1    0    young einstein is embarrassingly lame , but that didn't stop it from becoming a phenomenon in australia , where it became the third largest box office hit of all time . 
0    0    this is the last carry on film with its almost intact regular cast and it is the swansong of hattie jacques and sid james . 
0    0    i wish i could accurately describe the theme music for part 3 . 
0    0    for " original sin , " the road to the screen has been rocky . 
0    0    the rich legacy of cinema has left us with certain indelible images . 
0    0    last summer , a feature-length version of the avengers hit theaters to the tune of a unanimous critical panning . 
0    0    plot : token director alan smithee steals the only copy of his film " trio " from the studio , after they complete the " final cut " without him . 
0    0    the stereotypical american male has an undeniable fetishistic love of sports cars . 
0    0    it's amazing how a comedian can have the some of the funniest stand-up around but completely fall flat in the movies . 
1    0    at times , you'd think edtv would be an entertaining film . 
0    0     " an intimate , character-driven drama about a troubled youth at a crossroads in his life , " read the press notes for _reach_the_rock_ . 
0    0    vampire's is a rude , chauvinistic movie where women are portrayed as pawns of abuse , present only to pleasure men , feed vampires , readied to be bashed or beaten - till one's sensibilities is shocked by the low iq and mentality of this regressive movie . 
0    0    a sensuous romantic comedy , about as appealing as your average lightweight tv sitcom . 
0    0    i suppose it's unfair to criticize a movie like hudson hawk , which has been panned by reviewers and moviegoers alike since it's 1991 release . 
0    0    if there were a subject just screaming to be made into a film , it was studio 54 , the late steve rubell's infamous new york discotheque , which came to symbolize the taboo-smashing excesses of the disco era's heyday : easy drugs and even easier sex between everyone , all set to a thumping dance beat . 
0    0    as you should know , this summer has been less than memorable . 
1    0    it would be hard to choose the best american political thriller . 
0    0    the great actor james woods once said ( and i'm paraphrasing ) , " if sex isn't messy , then you're not doing it right " . 
0    0    the premise of turbulence is i'm sure very familiar to us all . 
0    0    in the series of the erotic thrillers that flooded the videoshelves in the early 1990s came this french-canadian co-production by max fischer . 
0    0    here i sit at my computer about to write my review of the recent action comedy " bait " starring jamie foxx and david morse . 
0    0    tv's buffy finds herself on the other side of the supernatural spectrum in " simply irresistible . " 
0    0    when i first saw the preview for cruel intentions , i turned to my friend and said , " dangerous liaisons for kids ! " 
0    0    your first clue that something isn't gonna be quite right with the movie you're about to see : it's heavily christmas-themed and its release date is , oh , say , at the end of february . 
0    0    here's something to chew on : what's the favorite food of big , cheesy-looking special effects monsters like the one lurking in the bowels of a luxury liner in deep rising ? 
0    0    this is an adaptation of h . g . wells' acclaimed novel 'the invisible man' . 
1    0    because no one demanded it : david duchovny in a romantic comedy ! 
0    0     " come on , silent bob ! 
1    0    i can't recall a previous film experience where the fairly good time i was having turned as sour as quickly as it did during feeling minnesota . 
0    0    wolfgang petersen's latest , the perfect storm , is like a pineapple . 
0    0    depending on who you ask , the original sin was either the eating of the apple , the act of disobedience against god , or the act of betrayal . 
0    0    adam sandler vehicles are never anything special , but continue to make a load of money . 
0    0    if you have ever seen fox tv's special car chase programs , you'll have a good idea about the content of ronin , the new action " thriller " from director john frankenheimer . 
0    0    can you say " dated " ? 
1    0     " the 44 caliber killer has struck again . " 
0    0    what do you get when you rip-off good movies like woody allen's bananas and martin scorsese's after hours ? 
0    0    capsule : dumb dud of an entry in the body heat sweepstakes , and now something of a landmark for having spawned a jillion clones . 
0    0    capsule : gal is a 50s-ish london cockney gangster who has retired to spain . 
0    0    you would think that this film's dismal failure would be due to american filmmakers getting hold of a brilliant british comedy and " americanizing " it . 
0    0    it should have been a classic . 
0    0     " holy man " boasts a sweet , gentle , comic performance from an unusually subdued eddie murphy and a few moderately funny skits . 
0    0    surrounded by hype , high hopes , and the promise of an over-the-top performance by clueless's brittany murphy , don't say a word looked full of promise . 
0    0    breakdown is an moderately entertaining , if underwhelming , thriller . 
0    0    ripe with explosions , mass death and really weird hairdos , tsui hark's " double team " must be the result of a tipsy hollywood power lunch that decided jean-claude van damme needs another notch on his bad movie-bedpost and nba superstar dennis rodman should have an acting career . 
1    0    i was recently told that in china their had been strong protests against the release of red corner  and this is apparently because of the way it shows the injustice of many chinese laws . 
0    0    not so long ago , men by the names of peckinpah , ford , leone , and eastwood made westerns . 
0    0    can a horror movie truly be called a horror movie if it has no scares , suspense , or even eerie elements ? 
0    0    capsule : this super-light situation comedy from sweden tells the story of two close friends with romantic problems . 
0    0     " spawn " may be somewhat of an older film . 
0    0    it's time to take cover . 
0    0    the above is dialogue from this film , taken almost completely in context , and not jazzed up a bit to make it more inept than it is . 
0    0     " ladybugs " is a typical comedy that relies on three supposed guarantees : the pathetic team who beats the champs ; cross dressing ; and the presence of rodney dangerfield . 
0    0    based on the novel set in 1914 by joseph conrad , victory spins a tale of a pair of lovers , heyst ( william dafoe ) and alma ( irene jacob ) , who seek refuge on heyst's isolated island . 
0    0    a couple of criminals ( mario van peebles and loretta devine ) move into a rich family's house in hopes of conning them out of their jewels . 
0    0    the makers of spawn have created something almost as vacuous as this summer's other comic book adaptation , batman and robin . 
0    0    phaedra cinema , the distributor of such never-heard-of classics as " soft toilet seats , " " trailer : the movie , " and " the one armed boxer vs . the flying guillotine , " has sneaked its latest release , " the sculptress , " into a few theaters this weekend hoping to cash in on a handful of halloween holidaygoers looking for a right good scare . 
0    0    the word to describe sharon stone is " wonder " . 
1    0    in double jeopardy , the stakes are high . 
0    0    running time approximately 1hr 40mins 
0    0    the " fab 4 " of ronald reagan high are four stuck-up girls , played by rose mcgowan , rebecca gayheart , julie benz and charlotte roldan , who overdress like 4 posh spice wannabes . 
0    0    i have a great idea for a movie , one that can't miss . 
0    0    when critics attack seemingly well-intentioned films like patch adams or more recently pay it forward as i am about to do , their opinions are often greeted with a backlash of angry e-mails , sometimes even mock death threats from those who ( i suppose ) like to be shamelessly manipulated by their entertainment . 
0    0    the u . s . army utilizes a number of books known as field manuals which stipulate the specific way in which almost every action imaginable must be done . 
0    0    in the finale of disney's " mighty joe young , " a 15-foot tall , 2000-pound gorilla holds a frightened young boy in its clutches as it topples from a crippled ferris wheel and plummets to the ground . 
0    0    this film is worth seeing for those who want to see what mick jagger looks like when sporting an abe lincoln beard . 
0    0    synopsis : easily-angered , chainsmoking architect david encounters his homicidal first wife diedre five years after their divorce . 
0    0    well , what are you going to expect ? 
0    0    if the 70's nostalgia didn't make you feel old , the 80's nostalgia is bound to . 
0    0    what are the warning signs of a * terrible * movie ? 
1    0    saw an advanced screening of the movie sniper last night , and i have to say i wasn't too impressed . 
0    0    1989's " major league " was a delightful surprise . 
0    0    one of the indicator of badness in film is the hype being remembered more than film itself . 
0    0    let's get this one over with as quickly as possible . 
0    0    here's a rarity : a children's film that attempts to tackle a weighty subject , is there a god ? 
1    0    i have never been so confused after watching a movie . 
0    0    well arnold has completed the seemingly impossible task . 
0    0    apparently , when crap calls , jim carrey answers . 
0    0    michael richards leaves his spot as kramer on the infamous seinfeld tv sitcom for a stint as a lanky , goofy best friend to jeff daniels' lawyer character in this ill-fated , and unfunny , " comedy " . 
0    0     " we are grateful that we have the songs of grace chan to comfort us . " 
0    0    what happens when you put martin lawrence in a fat suit in real life ? 
0    0    i love movies . 
0    0    the formula is simple . 
0    0    the thirteenth floor is a bland , obligatory exercise in genre film-making . 
0    0    i think maybe it's time for the batman series to be put to rest . 
0    0    8mm is not going to enlighten your day . 
0    0    synopsis : original " jurassic park " survivor alan grant ( neill ) is tricked by paul and amanda kirby ( macy and leoni ) into leading an expedition to an island overrun by dinosaur , to rescue their stranded son . 
0    0    the characters in jonathan lynn's " the whole nine yards , " yet another in an endless recent string of mob comedies ( 1999's " analyze this " and " mickey blue eyes , " 2000's " gun shy " ) , are rarely ever written as real people , but merely as one-dimensional caricatures . 
0    0    take two old and dying men , a lifetime of regrets , a house full of sins , a thoroughly despicable man , enough lies , insecurities and other character defects to keep a team of psychiatrists gainfully employed , then add a inexplicable meteorological and amphibian-based phenomenon and you will have summed up magnolia , the newest film from paul thomas anderson ( boogie nights ) . 
0    0    the ads make " hanging up " seem like an upbeat comedy about a rascally father and his three daughters . 
